order_id,customer_id,product_id,product_name,category,quantity,unit_price,order_date,country
1001,C001,P101,Laptop,Electronics,1,65000,2026-08-01,India
1002,C002,P102,Headphones,Electronics,2,2500,2026-08-02,India
1003,C003,P103,Office Chair,Furniture,1,8500,2026-08-03,India
1004,C001,P104,Keyboard,Electronics,1,1800,2026-08-04,India
1005,C004,P105,Coffee Maker,Appliances,1,4200,2026-08-05,India
1006,C005,P106,Notebook,Stationery,5,120,2026-08-06,India
1007,C006,P107,Smartphone,Electronics,1,32000,2026-08-07,India
1008,C007,P108,Desk Lamp,Furniture,2,1500,2026-08-08,India
1009,C008,P109,Water Bottle,Home,3,500,2026-08-09,India
1010,C009,P110,Backpack,Fashion,1,2200,2026-08-10,India
1010,C009,P110,Backpack,Fashion,1,2200,2026-08-10,India
1011,C010,P111,Mouse,Electronics,-2,900,2026-08-11,India
1012,C011,P112,Monitor,Electronics,1,-15000,2026-08-12,India
1013,,P113,Webcam,Electronics,1,2500,2026-08-13,India
